,eq
116,"\begin{eq}{c}
\begin{array}{|c||c|c|}\hline
&\hbox{\bf time frame}
&\hbox{\bf position frame }\cr
&x_0=t&\cr
\hline
\tilde g(m^2,q)& g(|m|,t)&
 g ^{nc}(i|m|,\rvec x)\cr
&=\int{d^3x\over 8\pi} g(m^2,x)&
=\int{dx_0\over 2} g(m^2,x)\cr
\hline
&(q_0,\rvec q)=(|m|,0)&(q_0,|\rvec q|)=(0,i|m|)\cr
\hline\hline

\hbox{\bf Lorentz scalars}&&\cr\hline


\hfill\de(m^2-q^2)&{\cos mt\over |m|}
&0\cr\hline




\hfill \ep(q_0)\de(m^2-q^2)
&i{\sin mt\over m}
&0\cr\hline


{1 \over i\pi}{1\over q^2_\ro P -m^2}
&\ep(t)i{\sin mt\over m}
&\m~ 2i{ e^{-  |m|r}\over r} \cr\hline

{1 \over i\pi}{1\over (q^2_\ro P -m^2)^2}
& \ep(t)~i{\sin |m|t-|m|t\cos m t\over 2|m|^3}
&- i {e^{-  |m|r}\over |m|} \cr\hline\hline


\hbox{\bf Lorentz vectors}&&\cr\hline



\phantom{\ep(q_0)}q\de(m^2-q^2)&
{\scriptsize \pmatrix{
\hfill i\sin |m|t\cr
0\cr}}
&0\cr\hline




q\ep(q_0)\de(m^2-q^2)&
{\scriptsize  \pmatrix{\hfill \cos mt\cr
0\cr}}
&0\cr\hline







{1 \over i\pi}{q\over q^2_\ro P -m^2}
& \ep(t)
{\scriptsize  \pmatrix{
\hfill  \cos mt\cr
0\cr}}
&\m~{\scriptsize\pmatrix{
0\cr 2{\rvec x\over r}~{1+|m|r\over r^2}e^{-|m|r}\cr}}
 \cr\hline



{1 \over i\pi}{q\over (q^2_\ro P -m^2)^2}
& \ep(t)
{\scriptsize  \pmatrix{
\hfill -{t \sin |m|t\over 2|m|}\cr
0
\cr}}
&\o{\scriptsize\pmatrix{
\hfill 0 \cr -{\rvec x\over r}\cr}}
e^{-  |m|r}
 \cr\hline

{1 \over i\pi}{2q\over (q^2_\ro P -m^2)^3}
& \ep(t)
{\scriptsize  \pmatrix{
\hfill {t( \sin |mt|-|mt|\cos mt)\over 4|m|^3}\cr
0
\cr}}
&{\scriptsize\pmatrix{
\hfill 0 \cr \rvec x\cr}}
{e^{-  |m|r}\over 2|m|}
 \cr\hline



\end{array}
\cr\cr
\hbox{\bf Time and Position Projection for $\R^4\cong\R\pl\R^3$}

\"
117,"\begin{eq}{rcl}
\rstate{1,\rvec 0}
\sim &e^{-|m|r}&\inmap
\int {d^4q \over\pi^2}{|m|\over (q^2_\ro P -m^2)^2}e^{iqx}\cr
\rstate{2,\rvec 1}
\sim &2|m|\rvec x~ e^{-|m|r}&\inmap
\int {d^4q \over i\pi^2}{4m^2 q\over (q^2_\ro P -m^2)^3}e^{iqx}\cr
\"
118,"\begin{eq}{l}
\ol\C^2\x\Om^2\ni q\mape {q \over q^2-m^2}\in\ol\C^2\x\Om^2
\"
119,"\begin{eq}{lcrrl}
\Res{\pm |m|}{1\over q^2-m^2}
&=&\oint _{\pm |m|}{d^4q\over 2i\pi^2}\pi\de(\rvec q){1\over q^2-m^2}
=&\oint_{\pm |m|} {dq\over 2i\pi}{1\over q^2-m^2}&=\pm {1\over 2|m|}\cr
\Res{\pm i|m|}{1\over q^2-m^2}&=&
\oint_{\pm i|m|} {d^4q\over 2i\pi^2}\de(q_0){1\over q^2-m^2}
=&-\oint_{\pm i|m|} {d^3q\over 2i\pi^2}{1\over q^2+m^2}&=\mp{i|m|\over 2}\cr
\"
120,"\begin{eq}{l}
\tr \Res{\pm |m|}{q\over q^2-m^2}
=\oint_{\pm |m|} {dq\over 2i\pi}{ 2q^3\over q^2-m^2}=m^2\cr
\"
121,"\begin{eq}{rccc}
   &
   [-{1\over x^2_\ro P}+i\pi\de(x^2)+\dots]
   &\m&[-{1\over x^2_\ro P}+i\pi\de(x^2)+\dots]\cr
\sim&[\de(q^2 -m_1^2)+ {1 \over i\pi}{1\over q^2_\ro P -m_1^2}]&*&
[\de(q^2 -m_2^2)+ {1 \over i\pi}{1\over q^2_\ro P -m_2^2}]
\cr

\"
122,"\begin{eq}{l}
\mp{1\over i\pi^2}
{
{\scriptsize\pmatrix{1\cr q\cr}}
\Ga(2+ n_1 )\over (q^2\mp io -m_1^2)^{2+ n_1} }
*\mp{1\over i\pi^2}{{\scriptsize\pmatrix{1\cr q\cr}}
\Ga(2+ n_2 )\over (q^2\mp io -m_1^2)^{2+ n_2} }\cr
\hskip5mm ={1\over i\pi^2}\int_0^1d\ze_{1,2}\de(\ze_1+\ze_2-1)\int {d^4p\over i\pi^2}
{
{\scriptsize\pmatrix{1&q\ze_1\cr q\ze_2
&-p\ox p+ q\ox q\ze_1\ze_2\cr}}
\ze_1^{1+ n_1}\ze_2^{1+ n_2} \Ga(4+ n_1+ n_2)
\over\brack{
 p^2\mp io+q^2\ze_1\ze_2  -m_1^2\ze_1 -m_2^2\ze_2 }^{4+ n_1+ n_2}   }\cr
\"
123,"\begin{eq}{l}
\mp\int{d^4p\over i\pi^2}{\Ga(3+n)\over (p^2\mp io+a)^{3+n}}
=\mp{1\over 2}\int{d^4p\over i\pi^2}{p^2~\Ga(4+n)\over (p^2\mp io+a)^{4+n}}
={\Ga(1+n)\over (\mp io+a)^{1+n}}\cr
\"
124,"\begin{eq}{l}
\SO_0(1,3)\sx\R^4:~~
({\stackrel{\rm R}*},q^2)=\left\{\begin{array}{ll}
(\mp{*\over i\pi^2},q^2\mp io),&\hbox{Feynman}\cr
(\mp{*\over 2i\pi^2},(q\mp io)^2),&\hbox{causal}\cr\end{array}\right.
\"
125,"\begin{eq}{l}
\R^4:\left\{\begin{array}{rcll}
{\Ga(2+ n_1 )\over(q^2-m_1^2)^{2+ n_1}}
&{\stackrel{\rm R}*}&
{\Ga(2+ n_2) \over(q^2-m_2^2)^{2+ n_2}}
&=\int_0^1 d\ze  {\ze^{1+ n_1}(1-\ze)^{1+ n_2} \Ga(2+ n_1+ n_2)
\over[q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{2+ n_1+ n_2} }\cr
{q~\Ga(2+ n_1 )
\over (q^2-m_1^2)^{2+n_1}}
&{\stackrel{\rm R}*}&{\Ga(2+ n_2 )\over ( q^2-m_2^2)^{2+n_2}}&=
\int_0^1  d\ze{q~\ze^{1+n_1}(1-\ze)^{2+n_2}\Ga(2+n_1+n_2)
 \over [q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{2+n_1+n_2}}\cr
{q~\Ga(2+ n_1 )
\over (q^2-m_1^2)^{2+n_1}}
&{\stackrel{\rm R}*}&
{q~\Ga(2+ n_2 ) \over ( q^2-m_2^2)^{2+n_2}}&=
\int_0^1  d\ze{-({1\over2}\bl1_4+q\ox q{\p\over\p q^2})\ze^{1+n_1}(1-\ze)^{1+n_2}\Ga(1+n_1+n_2)
 \over [q^2\ze(1-\ze)-m_1^2\ze -m_2^2(1-\ze)]^{1+n_1+n_2}}\cr
\end{array}\right.\"
126,"\begin{eq}{rlr}
{q \over q^2}~~
{\stackrel{\rm R}*}~~
{2q \over ( q^2-m^2)^3}&=-({1\over2}\bl1_4+q\ox q{\p\over\p q^2})
&{1\over q^2}\int_0^1  d\ze{1-\ze \over \ze -{m^2\over q^2}}\cr
{q \over (q^2)^2}~~
{\stackrel{\rm R}*}~~
{2q \over ( q^2-m^2)^3}&=-({1\over2}\bl1_4+q\ox q{\p\over\p q^2})
&{1\over (q^2)^2}\int_0^1  d\ze{\ze
 \over (\ze -{m^2\over q^2})^2}\cr
\"
127,"\begin{eq}{l}
M^2({m^2\over q^2})
=-\int_{0}^{1}
d\ze~{1-\ze\over \ze-{m^2\over q^2}}=-\sum\Res{}{1-\ze\over \ze-{m^2\over q^2}}
\log{\ze-1 \over \ze}
=1-(1-{m^2\over q^2})\log(1- {q^2\over m^2})\cr
\"
128,"\begin{eq}{l}
s(\ul q):V\mape V_L,~~\hat s(\ul q):V\map V_R,~~
\hat s=s^{-1\star}
\"
129,"\begin{eq}{rl}
q^2> 0,~~{q\over \sqrt{q^2}}=\ul q&=\ul q_0\bl1_2+\rvec{\ul q}
={\scriptsize\pmatrix{\ul q_0+\ul q_3&\ul q_1-i\ul q_2\cr
 \ul q_1+i\ul q_2&\ul q_0-\ul q_3\cr}}\cr
\ul{\d q}&=\ul q_0\bl1_2-\rvec{\ul q}
,~~\ul q^2=1=\ul{\d q}^2\cr
\"
130,"\begin{eq}{rl}
s(\ul q)\bl1_2s^\star(\ul q)&=\ul q,~~
\hat s(\ul q)\bl1_2\hat s^\star(\ul q)=\ul {\d q}, ~~
s(\ul q),\hat s(\ul q)=s(\ul{\d q})\in\SL(\C^2)\cr
\then s(\ul q)
&=u({\rvec q\over |\rvec q|})
\o e^{{\be\over2}\si_3}\o
u^\star({\rvec q\over |\rvec q|}),~~
\tanh\be={q_0\over|\rvec q|},~~
u({\rvec q\over |\rvec q|})\in\SU(2)\cr
&={1\over\sqrt{2 (1+\ul q_0)}}
{\scriptsize\pmatrix{1+\ul q_0+\ul q_3&\ul q_1-i\ul q_2\cr
 \ul q_1+i\ul q_2&1+\ul q_0-\ul q_3\cr}}\cr


\"
131,"\begin{eq}{l}
[2J]\inmap [2L|2R]\hbox{ for }\left\{\begin{array}{l}
L+R\ge J\cr
L+R+J\hbox{ integer}\end{array}\right.
\"
132,"\begin{eq}{l}
[2L|2R]\cong{\PL_{J=|L-R|}^{L+R}}[2J],~~\C^{(1+2L)(1+2R)}\cong{\PL_{J=|L-R|}^{L+R}}\C^{1+2J}
\"
133,"\begin{eq}{l}
s^{[2L|2R]}(\ul q)={\OD^{2L}}s(\ul q)\ox {\OD^{2R}}\hat s (\ul q):
{\OD^{2L}}V\ox {\OD^{2R}}V\map {\OD^{2L}}V_L\ox {\OD^{2R}}V_R\cr
\"
134,"\begin{eq}{l}
s^{[1|1]}(\ul q):
V\ox V\map V_L\ox V_R\cr
s^{[1|1]}(\ul q)=s(\ul q)\ox \hat s(\ul q)=\La( \ul q)={\scriptsize\pmatrix{
\ul q_0&\rvec{\ul q}\cr \rvec{\ul  q}&
\bl 1_3+{\rvec {\ul q}\ox\rvec{\ul q}\over1+\ul q_0}\cr}}
\in \SO_0(1,3)
\"
135,"\begin{eq}{l}
V_L\ox V_R\cong\C^4=\C\pl\C^3,\left\{\begin{array}{cl}

\La( \ul q){\scriptsize\left(\begin{array}{c|c}
1&0\cr\hline 0&0\cr\end{array}\right)}\La^{-1}( \ul q)&=
\ul q\ox \ul {\d q}\cong   {q^j q_k\over q^2}\cr
\La( \ul q){\scriptsize\left(\begin{array}{c|c}
0&0\cr\hline 0&\bl1_3\cr\end{array}\right)}\La^{-1}( \ul q)
&=\bl 1_4-\ul q\ox \ul{\d q}\cong \de_k^j -{q^jq_k\over q^2}
\end{array}\right.
\"
136,"\begin{eq}{rl}
J=0,1,\dots:~~
[2J]&\inmap[2L|2L]\hbox{ with }2L\ge J\cr
({\rvec q\over |\rvec q|})^{2J}
&\inmap(\ul q)^{4L}_{2J}
= {\OD^{2L}}\ul q\stackrel{2J}\ox {\OD^{2L}}\ul{\d q}\cr
\"
137,"\begin{eq}{rl}
J=0,1,\dots:~~
\bl 1_{(1+2L)^2}={\PL_{J=0}^{2L}} (\ul q)^{4L}_{2J},~~
(\ul q)^{4L}_{2J}
&= s^{[2L|2L]}(\ul q)\bl 1_{1+2J} s^{-1[2L|2L]}(\ul q)\cr
(\ul q)^{4L}_{2J} \o (\ul q)^{4L}_{2J'}
&=\de_{JJ'}(\ul q)^{4L}_{2J}\cr


\"
138,"\begin{eq}{rl}
J={1\over2},{1\over 3}\dots:~~
[2J]&\inmap \left\{\begin{array}{l}
[1+2L|2L]\cr
[2L|1+2L]\cr\end{array}\right.
\hbox{ with }2L\ge J-{1\over 2}\cr
({\rvec q\over |\rvec q|})^{2J}
&\inmap\left\{\begin{array}{rcrcl}
(\ul q)^{1+4L}_{2J}&=&
 {\OD^{1+2L}}\ul q&\stackrel{2J}\ox& {\OD^{2L}}\ul{\d q}\cr
(\ul{\d q})^{1+4L}_{2J}&=&
 {\OD^{2L}}\ul q&\stackrel{2J}\ox& {\OD^{1+2L}}\ul{\d q}\end{array}\right.
\"
139,"\begin{eq}{rl}
q^2\ge0:~~s(q)=\sqrt{q^2}s(\ul q)&=
u({\rvec q\over |\rvec q|})
\o \sqrt{q^2}~e^{{\be\over2}\si_3}\o
u^\star({\rvec q\over |\rvec q|})\in\GL(\C^2)\cr
\"
140,"\begin{eq}{l}
({\rvec q\over |\rvec q|})^{2J}\inmap (\ul q)_{2J}^{K},~~
(\rvec q)^{2J}\inmap (q)_{2J}^{N}=(\sqrt{q^2})^{2K}(\ul q)^{N}_{2J}
\"
141,"\begin{eq}{ll}
(\rvec q)^0\inmap ( q)_0^{0} =1&
(\rvec q)^1\inmap\left\{\begin{array}{rll}
(q)_{1}^{1} &= q
&=s(q)\bl1_2 s^\star(q)\cr
( \d q)_{1}^{1} &= {\d q}&=\hat s(q)\bl1_2 \hat s^\star(q)\end{array}\right.\cr
(\rvec q)^0\inmap(q)^{2}_{0} = q\ox \d q=\La(q)\bl 1_1\La(q)^{-1},&
(\rvec q)^2\inmap( q)_2^{2}=q^2\bl 1_4- q\ox \d q
=\La(q)\bl 1_3\La(q)^{-1}\cr
\"
142,"\begin{eq}{l}
q*\d q\then {1\over 2}\bl 1_4 +q\ox \d q{\p\over\p q^2}
={1\over 2}
(\ul q)^2_2 +[{1\over 2} + q^2 {\p\over\p q^2}]
(\ul q)^2_0
\"
143,"\begin{eq}{cccl}
\R_\od\ni t_\od =\vth(t)t&\inmap &
\vth(x^0)\vth(x^2)
{\scriptsize\pmatrix{x^ 0+x^3&0\cr0&x^0- x^3\cr}}&=x_\od\in \R^2_\od\cr
&\inmap&
\vth(x^0)\vth(x^2){\scriptsize\pmatrix{x^0+x^3&x^1-ix^2\cr
x^1+ix^2&x^0- x^3\cr}}&=x_\od\in \R^4_\od
\"
144,"\begin{eq}{l}
\{1\}=\SO(1)\inmap\SO_0(1,1)\inmap\SO_0(1,3)\cr
\"
145,"\begin{eq}{rl}
\R_\od\ni t_\od&=e^{\psi^0}\in\D(1)\cr
\R_\od&\cong\D(1)\cong\GL(\C)/\U(1)\cr
\"
146,"\begin{eq}{rl}
\R_\od^2\ni x_\od=
{\scriptsize\pmatrix{x_\od^ 0+x^3&0\cr0&x_\od^0- x^3\cr}}
&=e^{\psi^0+\si_3\psi^3}
\hbox{ with}\left\{\begin{array}{rl}
x_\od^2&=e^{2\psi^0}\cr
 {x_\od^ 0+x^3\over x_\od^ 0-x^3}&=e^{2\psi^3}\end{array}\right.\cr
\R^2_\od&\cong\D(1)\x\SO_0(1,1)\cr
\"
147,"\begin{eq}{rl}
\R_\od^4\ni x_\od&={\scriptsize\pmatrix{x_\od^0+x^3&x^1-ix^2\cr
x^1+ix^2&x_\od^ 0- x^3\cr}}
=e^{\psi^0+\rvec\psi}=u({\rvec x\over r})\o
e^{\psi^0+\si_3 |\psi|}\o u({\rvec x\over r})^\star\cr
&\hfill\hbox{with }\left\{\begin{array}{rlrl}
 x_\od^2&= e^{2\psi^0},& {x_\od^ 0+r\over x_\od^ 0-r}&=e^{2|\rvec\psi|}\cr
 {\rvec \psi\over|\rvec \psi|}&={\rvec x\over r},&
u({\rvec x\over r })&\in\SU(2)\end{array}\right.\cr

\R^4_\od&\cong\D(1)\x\SO_0(1,3)/\SO(3)\cr
&\cong\D(1)\x\SO_0(1,1)\x\Om^2
\cong\GL(\C^2)/\U(2)\cr

\"
148,"\begin{eq}{l}
x_\od\in\R_\od^{1+s}\then x_\od^2>0
\"
149,"\begin{eq}{l}
\R^{1+s}
\cong\left\{\begin{array}{ll}
\log\D(1),&s=0\cr
\log \D(1)\pl\log\SO_0(1,1),&s=1\cr
\log \GL(\C^2)/\U(2),&s=3\cr
\end{array}\right.
\"
150,"\begin{eq}{l}
{1\over2i\pi}{\Ga(1+ N  ) \over ( q -io-m )^{1+ N  }}
={1\over 2}[ \de^{( N  )}(m- q )
+{1\over i\pi}{\Ga(1+ N  )  \over ( q_\ro P-m)^{1+ N  }}]\cr
\"
151,"\begin{eq}{l}
\R_\od\ni t_\od \mape

\int {dq\over 2i\pi} {\Ga(1+ N  )  \over ( q - io -m)^{1+ N  }}e^{iqt }
=(it_\od)^ N   e^{imt_\od}\cr
\"
152,"\begin{eq}{l}
  {1 \over 2i\pi}
 {1\over (q-io)^2 -m^2}=
 {1\over2}\Bigl[\ep(q_0)\de(q^2 -m^2)+ {1 \over i\pi}
{1\over q^2_\ro P -m^2}\Bigr]\cr
\"
153,"\begin{eq}{rl}
\pi g(m^2,x)&=\int d^2q~e^{iqx}~\tilde g(m^2,q)=
  \int dq_3~ e^{-i q_3x^3} g(q_0,x^0)\cr\cr
&  =\int dq_0~ e^{iq_0x^0}[
  \vth(q_0^2-m^2) g^c(q_3,x^3)+\vth(m^2-q_0^2) g^{nc}
  (iq_3,x^3)]\cr
\"
154,"\begin{eq}{c}
\begin{array}{|c||c||c|c|}\hline
&\hbox{\bf spacetime future}
&\hbox{\bf time frame}
&\hbox{\bf position frame}\cr
& x_\od=\vth(x^0)\vth(x^2) x&
x^0_\od= t_\od
&x^3=z\cr
\hline
\tilde g(m^2,q)
& g(m^2,x)
& g(|m|,t_\od)\in\D(1)
&
 g^{nc}(i|m|,z)\in\SO_0(1,1)\cr\hline
&
&(q_0, q_3)=(|m|,0)&(q_0, q_3)=(0,i|m|)\cr
\hline\hline








{1 \over 2\pi}{1\over (q-io)^2 -m^2}&
\hfill -\cl E_0({m^2x_\od^2\over4})
& -{\sin |m|t_\od\over |m|}
&  {e^{-  |mz|}\over|m|} \cr\hline

{1 \over 2i\pi}{q\over (q-io)^2 -m^2}&
\m\hfill
\p_\od\cl E_0({m^2x_\od^2\over4})
&
\cos mt_\od
&\ep(z)e^{-  |mz|}
 \cr\hline
{1 \over 2i\pi}{ q\over ((q-io)^2 -m^2)^2}&
\hfill
-{x_\od\over2}\cl E_0({m^2x_\od^2\over4})
&
-{t_\od\sin |m|t_\od\over 2|m|}
&
 -z{e^{-  |mz|}\over 2|m|}
 \cr\hline






\end{array}\cr\cr
\hbox{\bf Representations of Spacetime Future
$\R^2_\od\cong\R_\od\pl\R$}\cr
\cr\begin{array}{rl}
{\p\over\p{x^2\over 4}}\cl E_0({m^2x_\od^2\over4})
&=\de({x_\od^2\over4})
-m^2\cl E_1({m^2x_\od^2\over4})~~
\hbox{ with }\de(x_\od^2)=\vth(x_0)\de(x^2)\cr\cr
{\p\over\p m^2}{\p\over\p{x^2\over 4}}\cl E_0({m^2x_\od^2\over4})
&=-\cl E_0({m^2x_\od^2\over4}),~~\p_\od={\p\over\p x_\od}=2x_\od{\p\over\p x^2}\cr
\end{array}\cr

\"
155,"\begin{eq}{l}
{1\over q^2-m_0^2}-{1\over q^2-m_3^2}
={m_0^2-m_3^2\over (q^2-m_0^2)(q^2-m_3^2)}
=\int_{m_3^2}^{m_0^2}dm^2~{1\over (q^2-m^2)^2}
\"
156,"\begin{eq}{l}
\begin{array}{rl}
\hbox{spacetime future: }\R_\od^2\ni x_\od\mape&
\int_{m_3^2}^{m_0^2}dm^2~
\int {d^2q \over 2i\pi}~{q\over ((q-io)^2 -m^2)^2}
e^{iqx}\cr
&=-{x_\od\over2}\pi[m_0^2\cl E_1({m_0^2x_\od^2\over4})
-m_3^2\cl E_1({m_3^2x_\od^2\over4})]\end{array}\cr
\"
157,"\begin{eq}{lrl}
\hbox{time future:}&\R_\od\ni t_\od\mape&
\int_{m_3^2}^{m_0^2}dm^2\int {dq \over 2i\pi}~{q\over ((q-io)^2 -m^2)^2}
e^{iqt}\cr
&&=\cos m_0t_\od-\cos m_3t_\od\cr
\hbox{position:}&\R\ni z\mape& \int_{m_3^2}^{m_0^2}dm^2~
\int {dq \over 2i\pi}~{q\over (q^2+m^2)^2}
e^{-iqz}\cr
&&=\ep(z){e^{-  |m_0z|}-e^{-  |m_3z|}\over2}
 \"
158,"\begin{eq}{l}
\tr \Res{\mu}
{m_0^2-m_3^2\over (q^2-m_0^2)(q^2-m_3^2)}
=\left\{\begin{array}{rl}
1,&\mu^2=m_0^2\cr
-1,&\mu^2=m_3^2\cr\end{array}\right.\cr
\"
159,"\begin{eq}{rl}
\pi g(m^2,x)&=\int {d^4q\over\pi}~e^{iqx}~\tilde g(m^2,q)=
  \int {d^3q\over\pi}~ e^{-i \rvec q\rvec x} g(q_0,x^0)\cr\cr
&  =\int dq_0~ e^{iq_0x^0}[
  \vth(q_0^2-m^2) g^c(|\rvec q|,\rvec x)
 +\vth(m^2-q_0^2) g^{nc}(i|\rvec q|,\rvec x)]\cr
 \"
160,"\begin{eq}{c}
\begin{array}{|c||c|c|c|}\hline
&\hbox{\bf spacetime future}
&\hbox{\bf time frame}
&\hbox{\bf position frame}\cr
& x_\od=\vth(x^0)\vth(x^2) x&
 x^0_\od=t_\od&\cr
\hline
\tilde g(m^2,q)& g(m^2,x)& g(|m|,t_\od)\in\D(1)&
 g ^{nc}(i|m|,\rvec x)\in\SO_0(1,3)/\SO(3)\cr\hline

&&(q_0,\rvec q)=(|m|,0)&(q_0,|\rvec q|)=(0,i|m|)\cr
\hline\hline






{1 \over \pi}{1\over (q-io)^2 -m^2}
&\m\hfill -
{\p\over\p{x^2\over 4}}
\cl E_0({m^2x_\od^2\over4})
&-{\sin |m|t_\od\over|m|}
& -{ e^{-  |m|r}\over r} \cr\hline

{1 \over \pi}{1\over ((q-io)^2  -m^2)^2}
&\hfill
\cl E_0({m^2x_\od^2\over4})


 &-{\sin|m|t_\od-|m|t_\od\cos mt_\od\over 2|m|^3}
&{e^{-  |m|r}\over2|m|} \cr\hline\hline




{1 \over i\pi}{q\over (q-io)^2 -m^2}
&\m\hfill \p_\od {\p\over\p{x^2\over 4}}
\cl E_0({m^2x_\od^2\over4})
 &\cos mt_\od
&
{\rvec x\over r}~{1+|m|r\over r^2}e^{-|m|r}
 \cr\hline



{1 \over i\pi}{q\over ((q-io)^2 -m^2)^2}
&\m\hfill \p_\od
\cl E_0({m^2x_\od^2\over4})

&
 -{t_\od \sin |m|t_\od\over 2|m|}
 & -{\rvec x\over r}{e^{-  |m|r}\over 2}
 \cr\hline
{1 \over i\pi}{2q\over ((q-io)^2 -m^2)^3}
&\hfill -{x_\od\over2}\cl E_0({m^2x_\od^2\over4})

&
{t_\od( \sin |m|t_\od-|m|t_\od\cos mt_\od)\over 4|m|^3}
& -\rvec x ~{e^{-  |m|r}\over2|m|}
 \cr\hline



\end{array}
\cr\cr
\hbox{\bf Representation of Spacetime Future $\R_\od^4\cong\R_\od\pl\R^3$}
\cr\cr
\begin{array}{rl}
\({\p\over\p{x^2\over 4}}\)^2
\cl E_0({m^2x_\od^2\over4})

&
=\de'({x_\od^2\over4})-m^2\de({x_\od^2\over4})
+m^4\cl E_2({m^2x_\od^2\over4})\cr
\end{array}\cr




\"
161,"\begin{eq}{l}
{1\over q^2-m_0^2}-{1\over q^2-m_3^2}
-{m_0^2-m_3^2\over (q^2-m_3^2)^2}={(m_0^2-m_3^2)^2\over (q^2-m_0^2)(q^2-m_3^2)^2}

=\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)
~{2\over (q^2-m^2)^3}
\"
162,"\begin{eq}{l}
\begin{array}{|c||c|c|c|}\hline
\hbox{rank}&\hbox{Lorentz}&\hbox{Poincar\'e}&
\hbox{expansion}\cr\hline\hline
1&\SO_0(1,1)&\SO_0(1,1)\sx\R^2&\SO_0(2,1)\cr\hline
2&\SO_0(1,3)&\SO_0(1,3)\sx\R^4&\SO_0(2,3)\cr\hline
\end{array}\cr
\"
163,"\begin{eq}{l}
\hbox{spacetime future: }
\R_\od^4\ni x_\od\mape
\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)
\int {d^4q \over 2i\pi^2}~{2q\over ((q-io)^2 -m^2)^3}
e^{iqx}\cr
\hfill={x_\od\over2}\pi[
m_0^4\cl E_2({m_0^2x_\od^2\over4})
-m_3^4\cl E_2({m_3^2x_\od^2\over4})
+(m_0^2-m_2^2)m_3^2\cl E_1({m_3^2x_\od^2\over4})
]

\cr
\"
164,"\begin{eq}{rl}
\hbox{time future:}&\R_\od\ni t_\od\mape\int_{m_3^2}^{m_0^2}dm^2
(m_0^2-m^2)\int {dq \over 2i\pi}~{q\over ((q-io)^2 -m^2)^3}
e^{iqt}\cr
&\hfill=
\cos m_0t_\od-\cos m_3t_\od+(m_0^2-m_3^2)
{t_\od\sin m_3t_\od\over 2m_3}


\cr
\hbox{position:}&\R^3\ni \rvec x\mape \int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)
\int {d^3q \over 2\pi^2}~{i\rvec q\over (\rvec q^2 +m^2)^3}
e^{-i\rvec q\rvec x}\cr
&\hskip10mm=
{\rvec x\over r}[
{1+|m_0|r\over r^2}e^{-  |m_0|r}
-{1+|m_3|r\over r^2}e^{-  |m_3|r}
+(m_0^2-m_3^2){e^{-  |m_3|r}\over 2}]
 \"
165,"\begin{eq}{l}
\tr \Res{\mu}
{(m_0^2-m_3^2)^2\over (q^2-m_0^2)(q^2-m_3^2)^2}

=\Res{\mu}[
{2q^3\over q^2-m^2_0}-{2q^3\over q^2-m^2_3}]
=\left\{\begin{array}{rl}
1,&\mu^2=m_0^2\cr
-1,&\mu^2=m_3^2\cr\end{array}\right.
\"
166,"\begin{eq}{l}
{d\over dx}\hbox{ for } \log\D(1)\cong \R,~~
  {\p\over  \p\rvec x}, {\p^2\over  \p\rvec x^2}\hbox{ for }
  \log\SO_0(1,3)/\log \SO(3)\cong \R^3
\"
167,"\begin{eq}{l}
\hbox{time }\D(1)\cong \R:~~{a_{-1}\over q-m}
\"
168,"\begin{eq}{l}
\hbox{position }\SO(3)\sx \R^3,~~\mu^2=\pm m^2:\left\{\begin{array}{rll}
J=0,1,\dots:&
{a_{-1}(\rvec q)^{2J}\over (\rvec q^2-\mu^2)^{1+J}},&
\hbox{e.g. }{a_{-1}\over \rvec q^2-\mu^2}\cr
J={1\over2},{3\over2},\dots:
&{a_{-1} (\rvec q)^{2J}\over (\rvec q^2-\mu^2)^{{1\over 2}+J}},&
\hbox{e.g. }{a_{-1}\rvec q\over \rvec q^2-\mu^2}\cr
\end{array}
\right.
\"
169,"\begin{eq}{l}
\hbox{spacetime }\SO_0(1,1)\sx \R^2:~~
{a_{-1}\over q^2-m^2},~~
{a_{-1}q\over q^2-m^2}
\"
170,"\begin{eq}{l}
\hbox{spacetime }\SO_0(1,3)\sx\R^4:\left\{\begin{array}{rl}
J=0,1,\dots:&{a_{-1}(q)_{2J}^{4L}\over (q^2-m^2)^{1+2L}}\hbox{ with }2L\ge J\cr
&\hbox{e.g. }{a_{-1}\over  q^2-m^2}\cr
J={1\over2},{3\over2},\dots:&
{ a_{-1}(q)_{2J}^{1+4L}\over (q^2-m^2)^{1+2L}}\hbox{ with }2L\ge J-{1\over 2}\cr
&\hbox{e.g. }{a_{-1}q\over q^2-m^2}\cr
\end{array}\right.
\"
171,"\begin{eq}{rcll}
\hbox{symmetric space}&*&\hbox{symmetric space}&\map \hbox{symmetric space}\cr
\hbox{symmetric space}&*&\hbox{tangent space}&\map \hbox{tangent space}\cr
\"
172,"\begin{eq}{rl}
\cl G'\x\cl G\map\C,~~
\dprod{ l}{ g}&=\int  l(x)dx ~  g(x)\cr
&=\int d^dx\int d^dq~e^{iqx}(\tilde l*\tilde g)(q)\cr
&=(2\pi)^d(\tilde l*\tilde g)(0)
\"
